number,main_count,main_rate,main_expected,main_std_resid,main_z,main_p_raw,main_ci_lo,main_ci_hi,bonus_count,bonus_rate,bonus_expected,bonus_z,bonus_p_raw,main_plus_bonus_count,main_plus_bonus_rate,main_plus_bonus_expected,main_plus_bonus_z,main_plus_bonus_p_raw,main_p_bonf,main_sig_bonf,main_p_holm,main_sig_holm,main_p_fdr,main_sig_fdr,bonus_p_bonf,bonus_sig_bonf,bonus_p_holm,bonus_sig_holm,bonus_p_fdr,bonus_sig_fdr,main_plus_bonus_p_bonf,main_plus_bonus_sig_bonf,main_plus_bonus_p_holm,main_plus_bonus_sig_holm,main_plus_bonus_p_fdr,main_plus_bonus_sig_fdr
17,221,0.1574074074074074,226.4516129032258,-0.39557740264261904,-0.39557740264261904,0.7168057495338582,0.13929534543143468,0.1773891452101261,47,0.03347578347578348,45.29032258064516,0.2582448612404032,0.7624968273654354,268,0.1908831908831909,271.741935483871,-0.2527719075114377,0.8393935730248483,1.0,False,1.0,False,0.8888391294219843,False,1.0,False,1.0,False,0.9783223892134035,False,1.0,False,1.0,False,0.9293285987060821,False
18,223,0.15883190883190884,226.4516129032258,-0.25045433185065197,-0.25045433185065197,0.8277151773796405,0.14064650643170581,0.1788792129389961,55,0.03917378917378917,45.29032258064516,1.4666359100634212,0.15044792490011955,278,0.198005698005698,271.741935483871,0.42273922463119623,0.6607205604111601,1.0,False,1.0,False,0.9163989463846021,False,1.0,False,1.0,False,0.5182095191004117,False,1.0,False,1.0,False,0.8905364075106941,False
19,245,0.1745014245014245,226.4516129032258,1.3458994468609862,1.3458994468609862,0.1794499446316308,0.1555436537347476,0.19523558165650662,31,0.02207977207977208,45.29032258064516,-2.1585372364056328,0.0283242979132691,276,0.19658119658119658,271.741935483871,0.2876369982026694,0.7612265191843626,1.0,False,1.0,False,0.5562948283580555,False,0.8780532353113422,False,0.849728937398073,False,0.4390266176556711,False,1.0,False,1.0,False,0.9076162344121246,False
20,235,0.16737891737891739,226.4516129032258,0.6202840929011506,0.6202840929011506,0.5373382278198454,0.14876459834940453,0.18780849339614408,41,0.0292022792022792,45.29032258064516,-0.6480484253768602,0.5964863953045103,276,0.19658119658119658,271.741935483871,0.2876369982026694,0.7612265191843626,1.0,False,1.0,False,0.7932135744007243,False,1.0,False,1.0,False,0.9732146449705168,False,1.0,False,1.0,False,0.9076162344121246,False
21,242,0.17236467236467237,226.4516129032258,1.1282148406730355,1.1282148406730355,0.2606727513109621,0.15350864498488076,0.1930087473126618,36,0.02564102564102564,45.29032258064516,-1.4032928308912465,0.17379324125258755,278,0.198005698005698,271.741935483871,0.42273922463119623,0.6607205604111601,1.0,False,1.0,False,0.6734046075533189,False,1.0,False,1.0,False,0.5387590478830214,False,1.0,False,1.0,False,0.8905364075106941,False
22,240,0.17094017094017094,226.4516129032258,0.9830917698810684,0.9830917698810684,0.3272434935752647,0.1521525827327872,0.19152358083561422,53,0.03774928774928775,45.29032258064516,1.1645381478576666,0.2562989306297144,293,0.20868945868945868,271.741935483871,1.4360059228451472,0.15593829861136227,1.0,False,1.0,False,0.7059188644563199,False,1.0,False,1.0,False,0.6111743730400883,False,1.0,False,1.0,False,0.5722696572708015,False
23,235,0.16737891737891739,226.4516129032258,0.6202840929011506,0.6202840929011506,0.5373382278198454,0.14876459834940453,0.18780849339614408,43,0.030626780626780627,45.29032258064516,-0.3459506631711058,0.8205284554693062,278,0.198005698005698,271.741935483871,0.42273922463119623,0.6607205604111601,1.0,False,1.0,False,0.7932135744007243,False,1.0,False,1.0,False,0.9783223892134035,False,1.0,False,1.0,False,0.8905364075106941,False
24,224,0.15954415954415954,226.4516129032258,-0.1778927964546684,-0.1778927964546684,0.884641905224619,0.14132228951515013,0.17962404422012232,42,0.029914529914529916,45.29032258064516,-0.496999544273983,0.705325915845829,266,0.18945868945868946,271.741935483871,-0.3878741339399645,0.7355253944667635,1.0,False,1.0,False,0.9421695426457718,False,1.0,False,1.0,False,0.9783223892134035,False,1.0,False,1.0,False,0.9076162344121246,False
25,221,0.1574074074074074,226.4516129032258,-0.39557740264261904,-0.39557740264261904,0.7168057495338582,0.13929534543143468,0.1773891452101261,43,0.030626780626780627,45.29032258064516,-0.3459506631711058,0.8205284554693062,264,0.18803418803418803,271.741935483871,-0.5229763603684913,0.6362815811286342,1.0,False,1.0,False,0.8888391294219843,False,1.0,False,1.0,False,0.9783223892134035,False,1.0,False,1.0,False,0.8905364075106941,False
26,203,0.14458689458689458,226.4516129032258,-1.701685039770323,-1.701685039770323,0.09500597171290587,0.12716018600546244,0.16395324607382825,48,0.03418803418803419,45.29032258064516,0.4092937423432805,0.6503620390073614,251,0.1787749287749288,271.741935483871,-1.4011408321539154,0.1661428037237811,1.0,False,1.0,False,0.47147270717196893,False,1.0,False,1.0,False,0.9783223892134035,False,1.0,False,1.0,False,0.5722696572708015,False
27,241,0.17165242165242164,226.4516129032258,1.0556533052770518,1.0556533052770518,0.29268785501827366,0.15283055243599813,0.1922662254969738,41,0.0292022792022792,45.29032258064516,-0.6480484253768602,0.5964863953045103,282,0.20085470085470086,271.741935483871,0.6929436774882498,0.478329280616308,1.0,False,1.0,False,0.6979479619666525,False,1.0,False,1.0,False,0.9732146449705168,False,1.0,False,1.0,False,0.886222501310519,False
28,223,0.15883190883190884,226.4516129032258,-0.25045433185065197,-0.25045433185065197,0.8277151773796405,0.14064650643170581,0.1788792129389961,45,0.03205128205128205,45.29032258064516,-0.043852900965351285,1.0,268,0.1908831908831909,271.741935483871,-0.2527719075114377,0.8393935730248483,1.0,False,1.0,False,0.9163989463846021,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9293285987060821,False
29,225,0.16025641025641027,226.4516129032258,-0.10533126105868486,-0.10533126105868486,0.9421695426457718,0.14199820668104718,0.18036874141879586,37,0.026353276353276354,45.29032258064516,-1.2522439497883693,0.2269992516457026,262,0.1866096866096866,271.741935483871,-0.658078586797018,0.5431686298354794,1.0,False,1.0,False,0.9421695426457718,False,1.0,False,1.0,False,0.586414733418065,False,1.0,False,1.0,False,0.886222501310519,False
30,239,0.17022792022792022,226.4516129032258,0.9105302344850847,0.9105302344850847,0.3643452203645522,0.15147473648164567,0.19078081272218517,30,0.021367521367521368,45.29032258064516,-2.30958611750851,0.018937786349256087,269,0.1915954415954416,271.741935483871,-0.1852207942971743,0.8925229460198965,1.0,False,1.0,False,0.7059188644563199,False,0.5870713768269387,False,0.5870713768269387,False,0.4390266176556711,False,1.0,False,1.0,False,0.9540762526419584,False
31,252,0.1794871794871795,226.4516129032258,1.853830194632871,1.853830194632871,0.06431998835107555,0.16029619793370745,0.20042733800954066,45,0.03205128205128205,45.29032258064516,-0.043852900965351285,1.0,297,0.21153846153846154,271.741935483871,1.7062103757022007,0.09119609658755243,1.0,False,1.0,False,0.47147270717196893,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.5722696572708015,False
