draw_no,strategy,max_match,n_3plus,n_4plus,n_5,cost,payout,profit
986,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
987,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
988,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
989,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
990,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
991,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
992,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1300,-700
993,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1100,-900
994,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
995,D_prize_roi_OOS_secondhalf,4,1,1,0,2000,10600,8600
996,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
997,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
998,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
999,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1000,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
1001,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1002,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1003,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
1004,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1005,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1006,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
1007,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1008,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1009,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
1010,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1011,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1100,-900
1012,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1013,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1014,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1015,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1016,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
1017,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1018,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1019,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
1020,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1021,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1022,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
1023,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1024,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1025,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
1026,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1027,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
1028,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1029,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
1030,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1300,-700
1031,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,800,-1200
1032,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1033,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1034,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
1035,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1036,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
1037,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
1038,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1039,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
