sum,mean,range,std,odd_count,even_count,low_count,high_count,prime_count,consecutive_pair_count,max_consecutive_run,d12,d23,d34,d45,decade_spread,draw_no,date
58,11.6,17,5.535341001239218,2,3,4,1,2,1,2,7,1,3,6,3,304,2005-05-17
74,14.8,14,5.035871324805669,2,3,3,2,2,1,2,1,2,3,8,2,305,2005-05-24
115,23.0,14,4.69041575982343,3,2,0,5,3,1,2,3,3,1,7,3,306,2005-05-31
76,15.2,26,8.930845424706442,2,3,3,2,1,0,1,8,5,6,7,3,307,2005-06-07
80,16.0,26,8.854377448471462,4,1,2,3,2,0,1,12,4,5,5,3,308,2005-06-14
84,16.8,15,5.491812087098393,2,3,2,3,2,1,2,6,3,5,1,3,309,2005-06-21
86,17.2,19,6.968500556073738,2,3,2,3,1,1,2,8,3,7,1,3,310,2005-06-28
95,19.0,27,9.736529155710468,3,2,1,4,4,1,2,15,2,9,1,3,311,2005-07-05
75,15.0,14,4.9396356140913875,3,2,2,3,2,1,2,5,5,1,3,3,312,2005-07-12
92,18.4,30,12.026637102698327,4,1,2,3,2,1,2,6,19,1,4,3,313,2005-07-19
63,12.6,18,6.916646586316233,1,4,2,3,2,0,1,5,9,2,2,3,314,2005-07-26
92,18.4,24,9.457272334029511,4,1,3,2,3,0,1,4,4,13,3,4,315,2005-08-02
136,27.2,6,2.315167380558045,2,3,0,5,1,3,3,1,3,1,1,2,316,2005-08-09
74,14.8,15,6.368673331236264,2,3,3,2,2,2,2,2,1,11,1,3,317,2005-08-16
107,21.4,22,8.212186067059124,3,2,1,4,2,2,2,9,1,11,1,3,318,2005-08-23
93,18.6,24,8.16333265278342,3,2,1,4,1,2,3,17,1,1,5,2,319,2005-08-30
84,16.8,24,10.264501936285072,2,3,3,2,2,1,2,1,6,15,2,4,320,2005-09-06
79,15.8,25,8.611620056644394,3,2,2,3,2,0,1,9,7,3,6,3,321,2005-09-13
82,16.4,26,10.85541339608953,2,3,3,2,2,0,1,3,2,18,3,4,322,2005-09-20
88,17.6,22,7.418894796396564,4,1,2,3,2,0,1,10,4,3,5,3,323,2005-09-27
83,16.6,25,10.892199043352083,3,2,3,2,3,2,2,1,7,16,1,4,324,2005-10-04
75,15.0,20,6.899275324264136,3,2,4,1,2,0,1,3,2,2,13,3,325,2005-10-11
46,9.2,24,8.588364221433556,4,1,4,1,2,0,1,2,3,5,14,3,326,2005-10-18
94,18.8,20,7.249827584156742,2,3,2,3,1,0,1,6,5,6,3,3,327,2005-10-25
44,8.8,17,6.43117407632541,2,3,4,1,2,2,2,1,9,1,6,2,328,2005-11-01
80,16.0,24,7.694153624668538,4,1,3,2,3,1,2,9,1,2,12,3,329,2005-11-08
74,14.8,21,6.99714227381436,4,1,3,2,3,0,1,10,2,4,5,3,330,2005-11-15
105,21.0,24,8.648699324175862,3,2,1,4,2,1,2,13,2,8,1,4,331,2005-11-22
94,18.8,25,10.303397497913005,2,3,2,3,1,1,2,5,15,4,1,2,332,2005-11-29
116,23.2,9,3.3105890714493698,2,3,0,5,1,1,2,2,1,4,2,2,333,2005-12-06
89,17.8,18,7.025667228100119,3,2,2,3,2,1,2,5,10,1,2,3,334,2005-12-13
109,21.8,17,6.177378084592201,3,2,1,4,2,0,1,2,7,2,6,3,335,2005-12-20
99,19.8,18,7.05407683541936,1,4,2,3,0,1,2,4,6,7,1,2,336,2005-12-27
77,15.4,19,8.16333265278342,3,2,2,3,2,2,3,3,14,1,1,2,337,2006-01-10
71,14.2,26,10.322790320451151,5,0,2,3,2,0,1,2,16,2,6,3,338,2006-01-17
62,12.4,19,6.374950980203691,4,1,4,1,2,0,1,5,2,4,8,3,339,2006-01-24
90,18.0,15,5.549774770204643,2,3,2,3,1,0,1,4,4,5,2,2,340,2006-01-31
68,13.6,24,8.867919710958146,2,3,2,3,3,1,2,3,12,1,8,3,341,2006-02-07
93,18.6,25,9.264987857520376,3,2,2,3,1,1,2,13,9,1,2,3,342,2006-02-14
88,17.6,24,9.393614852653903,2,3,3,2,0,0,1,4,5,12,3,4,343,2006-02-21
70,14.0,19,7.155417527999327,4,1,3,2,2,0,1,5,4,8,2,3,344,2006-02-28
83,16.6,22,7.116178749862878,3,2,2,3,3,1,2,7,2,1,12,3,345,2006-03-07
93,18.6,27,9.414881836751857,1,4,2,3,1,0,1,10,4,8,5,4,346,2006-03-14
91,18.2,17,6.675327707311455,3,2,2,3,2,1,2,1,9,3,4,2,347,2006-03-21
58,11.6,10,3.4985711369071804,2,3,4,1,1,2,2,1,2,1,6,2,348,2006-03-28
33,6.6,9,3.006659275674582,3,2,5,0,3,2,3,2,1,1,5,2,349,2006-04-04
86,17.2,25,9.537295214053092,2,3,2,3,1,0,1,6,13,2,4,2,350,2006-04-11
59,11.8,24,8.280096617793781,3,2,4,1,2,1,2,3,5,1,15,3,351,2006-04-18
73,14.6,25,8.867919710958146,3,2,3,2,3,0,1,2,7,3,13,3,352,2006-04-25
72,14.4,22,7.08801805866774,4,1,3,2,3,1,2,10,1,3,8,3,353,2006-05-02
75,15.0,27,9.695359714832659,3,2,2,3,3,0,1,3,11,2,11,3,354,2006-05-09
97,19.4,21,9.046546302318914,3,2,2,3,1,1,2,1,15,3,2,2,355,2006-05-16
75,15.0,16,5.761944116355173,3,2,2,3,3,0,1,5,6,2,3,3,356,2006-05-23
122,24.4,14,5.0039984012787215,2,3,1,4,1,1,2,9,2,2,1,2,357,2006-05-30
93,18.6,27,9.687104830649869,3,2,2,3,2,0,1,9,5,9,4,4,358,2006-06-06
66,13.2,16,5.81033561853358,4,1,3,2,3,1,2,8,4,3,1,2,359,2006-06-13
92,18.4,22,8.685620300243386,2,3,2,3,1,1,2,5,9,7,1,3,360,2006-06-20
54,10.8,28,10.166612021711067,0,5,4,1,1,0,1,2,2,6,18,3,361,2006-06-27
91,18.2,27,8.611620056644394,3,2,1,4,3,1,2,13,2,1,11,4,362,2006-07-04
65,13.0,18,6.131883886702357,1,4,3,2,1,0,1,6,2,5,5,3,363,2006-07-11
70,14.0,18,6.6932802122726045,4,1,3,2,3,0,1,4,4,7,3,3,364,2006-07-18
89,17.8,22,8.818163074019441,1,4,2,3,0,1,2,4,8,9,1,3,365,2006-07-25
76,15.2,28,9.239047569960876,2,3,3,2,3,0,1,9,3,5,11,3,366,2006-08-01
74,14.8,27,9.744742172063868,2,3,3,2,2,0,1,2,8,5,12,3,367,2006-08-08
83,16.6,28,10.96540012949824,3,2,2,3,2,1,2,7,9,11,1,3,368,2006-08-15
96,19.2,26,10.419213022104884,2,3,2,3,2,1,2,6,13,6,1,4,369,2006-08-22
92,18.4,18,7.310266752998826,0,5,2,3,0,0,1,2,4,10,2,2,370,2006-08-29
95,19.0,21,7.615773105863909,3,2,2,3,3,0,1,2,7,4,8,3,371,2006-09-05
83,16.6,29,11.46472851837321,3,2,2,3,1,0,1,4,17,3,5,3,372,2006-09-12
60,12.0,26,9.16515138991168,4,1,4,1,4,1,2,2,6,1,17,3,373,2006-09-19
110,22.0,20,7.797435475847171,4,1,1,4,2,2,3,8,10,1,1,3,374,2006-09-26
78,15.6,23,8.822698000045111,2,3,2,3,1,1,2,9,10,3,1,3,375,2006-10-03
94,18.8,21,7.756287771866127,4,1,2,3,2,0,1,6,8,4,3,3,376,2006-10-10
84,16.8,29,9.744742172063866,2,3,2,3,0,1,2,11,8,1,9,4,377,2006-10-17
74,14.8,18,7.025667228100119,2,3,3,2,0,0,1,2,7,6,3,3,378,2006-10-24
72,14.4,26,8.957678270623477,2,3,3,2,2,0,1,6,7,4,9,3,379,2006-10-31
73,14.6,29,9.520504188329523,3,2,3,2,4,1,2,9,1,5,14,3,380,2006-11-07
76,15.2,20,7.858753081755401,4,1,2,3,3,1,2,6,10,3,1,3,381,2006-11-14
64,12.8,16,5.6000000000000005,4,1,4,1,3,0,1,2,2,3,9,3,382,2006-11-21
68,13.6,27,9.707728879609277,4,1,3,2,3,0,1,3,2,8,14,3,383,2006-11-28
82,16.4,25,9.414881836751857,4,1,3,2,1,0,1,5,6,10,4,3,384,2006-12-05
91,18.2,21,7.493997598078078,1,4,2,3,0,0,1,8,6,4,3,3,385,2006-12-12
39,7.8,22,7.858753081755401,5,0,4,1,4,0,1,2,2,2,16,2,386,2006-12-19
129,25.8,14,5.075431016179809,1,4,0,5,1,2,3,10,2,1,1,3,387,2006-12-26
89,17.8,27,10.457533169921097,3,2,2,3,2,0,1,4,11,8,4,4,388,2007-01-09
89,17.8,22,8.930845424706442,3,2,3,2,2,0,1,3,2,14,3,4,389,2007-01-16
107,21.4,19,7.709734106958553,3,2,2,3,3,1,2,3,9,6,1,3,390,2007-01-23
87,17.4,30,11.60344776348823,3,2,3,2,1,1,2,9,5,15,1,3,391,2007-01-30
86,17.2,27,9.47417542586161,4,1,3,2,2,0,1,10,2,10,5,4,392,2007-02-06
102,20.4,15,5.314132102234569,2,3,1,4,1,1,2,2,1,4,8,3,393,2007-02-13
86,17.2,29,11.668761716651858,4,1,2,3,3,0,1,3,16,6,4,3,394,2007-02-20
103,20.6,25,8.114185110040317,3,2,1,4,2,2,3,15,1,1,8,3,395,2007-02-27
81,16.2,27,10.721940122944167,3,2,2,3,0,0,1,5,15,4,3,2,396,2007-03-06
81,16.2,24,8.657944328765346,3,2,2,3,1,1,2,13,3,7,1,3,397,2007-03-13
110,22.0,21,7.536577472566709,4,1,1,4,2,0,1,7,8,2,4,3,398,2007-03-20
101,20.2,24,8.908422980528034,5,0,2,3,4,0,1,6,10,4,4,4,399,2007-03-27
103,20.6,13,4.63033476111609,1,4,1,4,0,1,2,8,2,2,1,2,400,2007-04-03
98,19.6,19,7.337574531137657,2,3,2,3,2,0,1,2,5,8,4,3,401,2007-04-10
103,20.6,17,5.782732917920384,1,4,1,4,0,0,1,10,2,2,3,2,402,2007-04-17
84,16.8,29,12.12270596855339,2,3,2,3,3,1,2,3,11,14,1,3,403,2007-04-24
74,14.8,27,10.49571341072154,2,3,3,2,1,0,1,7,3,15,2,3,404,2007-05-01
88,17.6,23,9.54148835350125,4,1,3,2,2,1,2,1,4,14,4,4,405,2007-05-08
94,18.8,24,9.086253353280437,4,1,2,3,4,1,2,8,6,9,1,3,406,2007-05-15
94,18.8,26,8.588364221433556,4,1,2,3,2,1,2,10,6,1,9,4,407,2007-05-22
97,19.4,23,8.616263691415206,1,4,2,3,1,0,1,5,10,4,4,4,408,2007-05-29
87,17.4,26,9.850888284819801,3,2,2,3,3,1,2,9,8,8,1,3,409,2007-06-05
83,16.6,28,9.520504188329523,3,2,2,3,3,1,2,7,9,1,11,4,410,2007-06-12
66,13.2,17,6.43117407632541,2,3,3,2,2,0,1,3,4,7,3,3,411,2007-06-19
44,8.8,22,7.547184905645283,4,1,4,1,2,1,2,4,1,3,14,2,412,2007-06-26
95,19.0,21,7.293833011524188,3,2,2,3,2,0,1,6,7,2,6,3,413,2007-07-03
69,13.8,22,8.37615663654877,3,2,3,2,2,0,1,2,3,10,7,3,414,2007-07-10
109,21.8,19,7.222188034107115,1,4,1,4,1,0,1,5,8,4,2,3,415,2007-07-17
60,12.0,18,6.48074069840786,2,3,4,1,1,0,1,2,7,2,7,3,416,2007-07-24
71,14.2,21,8.133879763065101,3,2,3,2,2,1,2,6,3,11,1,3,417,2007-07-31
108,21.6,17,6.406246951218787,2,3,1,4,1,0,1,3,6,5,3,3,418,2007-08-07
83,16.6,22,7.4993333037010705,3,2,2,3,2,1,2,7,7,1,7,3,419,2007-08-14
75,15.0,25,9.011104260855047,3,2,3,2,3,0,1,8,3,10,4,3,420,2007-08-21
106,21.2,18,7.35934779718964,2,3,2,3,2,1,2,3,10,4,1,2,421,2007-08-28
85,17.0,17,6.2289646009589745,3,2,3,2,0,0,1,2,3,6,6,2,422,2007-09-04
93,18.6,23,8.039900496896713,1,4,2,3,1,0,1,6,2,8,7,4,423,2007-09-11
57,11.4,28,10.209799214480176,3,2,4,1,3,1,2,1,4,3,20,3,424,2007-09-18
87,17.4,24,9.068627239003707,1,4,2,3,0,0,1,6,10,5,3,3,425,2007-09-25
82,16.4,23,7.683749084919419,4,1,2,3,2,0,1,12,2,4,5,3,426,2007-10-02
88,17.6,17,5.748043145279966,2,3,2,3,1,1,2,5,5,1,6,3,427,2007-10-09
111,22.2,18,6.368673331236264,3,2,1,4,2,0,1,9,4,3,2,2,428,2007-10-16
107,21.4,19,6.56048778674269,1,4,1,4,1,0,1,7,4,4,4,3,429,2007-10-23
65,13.0,18,6.841052550594828,3,2,2,3,2,0,1,4,9,2,3,3,430,2007-10-30
78,15.6,22,8.16333265278342,2,3,3,2,1,1,2,9,2,10,1,3,431,2007-11-06
73,14.6,22,8.114185110040317,3,2,3,2,1,0,1,6,5,8,3,3,432,2007-11-13
77,15.4,26,8.685620300243386,3,2,2,3,1,0,1,11,5,3,7,3,433,2007-11-20
50,10.0,21,6.957010852370434,2,3,4,1,1,1,2,5,4,1,11,3,434,2007-11-27
101,20.2,19,6.675327707311455,3,2,1,4,1,0,1,11,3,3,2,3,435,2007-12-04
