number,k_draws_after,reappear_rate,n_obs
10,20,0.14912280701754385,228
10,21,0.16228070175438597,228
10,22,0.15789473684210525,228
10,23,0.15789473684210525,228
10,24,0.14473684210526316,228
10,25,0.16299559471365638,227
10,26,0.14977973568281938,227
10,27,0.15859030837004406,227
10,28,0.1894273127753304,227
10,29,0.19383259911894274,227
10,30,0.16299559471365638,227
11,1,0.20676691729323307,266
11,2,0.15471698113207547,265
11,3,0.19622641509433963,265
11,4,0.1660377358490566,265
11,5,0.20754716981132076,265
11,6,0.19245283018867926,265
11,7,0.1811320754716981,265
11,8,0.17735849056603772,265
11,9,0.17735849056603772,265
11,10,0.1811320754716981,265
11,11,0.16226415094339622,265
11,12,0.14393939393939395,264
11,13,0.17110266159695817,263
11,14,0.1634980988593156,263
11,15,0.19011406844106463,263
11,16,0.22433460076045628,263
11,17,0.19771863117870722,263
11,18,0.13688212927756654,263
11,19,0.18631178707224336,263
11,20,0.16730038022813687,263
11,21,0.20152091254752852,263
11,22,0.19771863117870722,263
11,23,0.20532319391634982,263
11,24,0.20152091254752852,263
11,25,0.19011406844106463,263
11,26,0.20912547528517111,263
11,27,0.1596958174904943,263
11,28,0.17490494296577946,263
11,29,0.18702290076335878,262
11,30,0.1724137931034483,261
12,1,0.15121951219512195,205
12,2,0.17073170731707318,205
12,3,0.1951219512195122,205
12,4,0.14634146341463414,205
12,5,0.14634146341463414,205
12,6,0.12195121951219512,205
12,7,0.15609756097560976,205
12,8,0.14146341463414633,205
12,9,0.16585365853658537,205
12,10,0.2,205
12,11,0.16585365853658537,205
12,12,0.12195121951219512,205
12,13,0.17560975609756097,205
12,14,0.12682926829268293,205
12,15,0.12195121951219512,205
12,16,0.11764705882352941,204
12,17,0.1330049261083744,203
12,18,0.1330049261083744,203
12,19,0.14356435643564355,202
12,20,0.1782178217821782,202
12,21,0.12935323383084577,201
12,22,0.1691542288557214,201
12,23,0.18,200
12,24,0.12,200
12,25,0.12060301507537688,199
12,26,0.14646464646464646,198
12,27,0.10606060606060606,198
12,28,0.12121212121212122,198
12,29,0.18181818181818182,198
12,30,0.1414141414141414,198
13,1,0.12903225806451613,217
13,2,0.14746543778801843,217
13,3,0.14746543778801843,217
13,4,0.11981566820276497,217
13,5,0.14285714285714285,217
13,6,0.1152073732718894,217
13,7,0.15207373271889402,217
13,8,0.12903225806451613,217
13,9,0.15668202764976957,217
13,10,0.15207373271889402,217
13,11,0.15207373271889402,217
13,12,0.15207373271889402,217
13,13,0.18433179723502305,217
13,14,0.15207373271889402,217
13,15,0.12442396313364056,217
13,16,0.15207373271889402,217
13,17,0.20276497695852536,217
13,18,0.12903225806451613,217
13,19,0.15668202764976957,217
13,20,0.1382488479262673,217
13,21,0.16203703703703703,216
13,22,0.19444444444444445,216
13,23,0.14814814814814814,216
