num_a,num_b,observed_count,expected_count,lift,odds_ratio,p_raw,period
7,17,11,7.548387096774194,1.4572649572649572,1.6109839816933638,0.19505962118243958,q2
7,18,9,7.548387096774194,1.192307692307692,1.5173076923076922,0.5772107413890271,q2
7,19,2,7.548387096774194,0.26495726495726496,0.15824468085106383,0.03995448836050852,q2
7,20,7,7.548387096774194,0.9273504273504273,0.6584699453551912,1.0,q2
7,21,6,7.548387096774194,0.7948717948717949,0.7204556241101091,0.713291991792435,q2
7,22,6,7.548387096774194,0.7948717948717949,0.5746945210878991,0.713291991792435,q2
7,23,7,7.548387096774194,0.9273504273504273,0.7654320987654321,1.0,q2
7,24,5,7.548387096774194,0.6623931623931624,0.5218855218855218,0.4605283765634254,q2
7,25,8,7.548387096774194,1.0598290598290598,0.9603060736489718,0.8525964477576938,q2
7,26,6,7.548387096774194,0.7948717948717949,0.7765419615773509,0.713291991792435,q2
7,27,10,7.548387096774194,1.3247863247863247,1.3239141810570383,0.35315791020466714,q2
7,28,5,7.548387096774194,0.6623931623931624,0.5867346938775511,0.4605283765634254,q2
7,29,3,7.548387096774194,0.39743589743589747,0.31354515050167225,0.09809544584071431,q2
7,30,7,7.548387096774194,0.9273504273504273,0.5959595959595959,1.0,q2
7,31,7,7.548387096774194,0.9273504273504273,0.84,1.0,q2
8,9,7,7.548387096774194,0.9273504273504273,0.9015151515151515,1.0,q2
8,10,7,7.548387096774194,0.9273504273504273,0.6463601532567049,1.0,q2
8,11,8,7.548387096774194,1.0598290598290598,0.8066115702479338,0.8525964477576938,q2
8,12,4,7.548387096774194,0.5299145299145299,0.3958333333333333,0.2654538030170721,q2
8,13,10,7.548387096774194,1.3247863247863247,1.2765957446808511,0.35315791020466714,q2
8,14,6,7.548387096774194,0.7948717948717949,0.5917874396135265,0.713291991792435,q2
8,15,9,7.548387096774194,1.192307692307692,1.042325581395349,0.5772107413890271,q2
8,16,5,7.548387096774194,0.6623931623931624,0.5173133083020443,0.4605283765634254,q2
8,17,3,7.548387096774194,0.39743589743589747,0.2777777777777778,0.09809544584071431,q2
8,18,5,7.548387096774194,0.6623931623931624,0.6333498268184067,0.4605283765634254,q2
8,19,12,7.548387096774194,1.5897435897435899,1.3611111111111112,0.13530517452715526,q2
8,20,9,7.548387096774194,1.192307692307692,0.8513992905005913,0.5772107413890271,q2
8,21,9,7.548387096774194,1.192307692307692,1.1511627906976745,0.5772107413890271,q2
8,22,7,7.548387096774194,0.9273504273504273,0.6463601532567049,1.0,q2
8,23,4,7.548387096774194,0.5299145299145299,0.3538011695906433,0.2654538030170721,q2
8,24,12,7.548387096774194,1.5897435897435899,1.6085106382978724,0.13530517452715526,q2
8,25,4,7.548387096774194,0.5299145299145299,0.3696969696969697,0.2654538030170721,q2
8,26,8,7.548387096774194,1.0598290598290598,1.0537190082644627,0.8525964477576938,q2
8,27,8,7.548387096774194,1.0598290598290598,0.8841354723707665,0.8525964477576938,q2
8,28,9,7.548387096774194,1.192307692307692,1.1813953488372093,0.5772107413890271,q2
8,29,5,7.548387096774194,0.6623931623931624,0.5297872340425532,0.4605283765634254,q2
8,30,10,7.548387096774194,1.3247863247863247,0.891912320483749,0.35315791020466714,q2
8,31,11,7.548387096774194,1.4572649572649572,1.475609756097561,0.19505962118243958,q2
9,10,5,7.548387096774194,0.6623931623931624,0.43478260869565216,0.4605283765634254,q2
9,11,6,7.548387096774194,0.7948717948717949,0.5684210526315789,0.713291991792435,q2
9,12,4,7.548387096774194,0.5299145299145299,0.40589198036006546,0.2654538030170721,q2
9,13,6,7.548387096774194,0.7948717948717949,0.6509803921568628,0.713291991792435,q2
9,14,12,7.548387096774194,1.5897435897435899,1.6153846153846154,0.13530517452715526,q2
9,15,6,7.548387096774194,0.7948717948717949,0.6213836477987421,0.713291991792435,q2
9,16,5,7.548387096774194,0.6623931623931624,0.530690537084399,0.4605283765634254,q2
9,17,5,7.548387096774194,0.6623931623931624,0.5183946488294314,0.4605283765634254,q2
9,18,4,7.548387096774194,0.5299145299145299,0.4951644100580271,0.2654538030170721,q2
9,19,10,7.548387096774194,1.3247863247863247,1.0627177700348431,0.35315791020466714,q2
9,20,7,7.548387096774194,0.9273504273504273,0.6233233979135618,1.0,q2
9,21,3,7.548387096774194,0.39743589743589747,0.2980769230769231,0.09809544584071431,q2
9,22,9,7.548387096774194,1.192307692307692,0.9336734693877551,0.5772107413890271,q2
9,23,10,7.548387096774194,1.3247863247863247,1.1908177905308466,0.35315791020466714,q2
