num_a,num_b,observed_count,expected_count,lift,odds_ratio,p_raw,period,p_bonf,sig_bonf,p_holm,sig_holm,p_fdr,sig_fdr
5,18,32,30.193548387096776,1.0598290598290598,0.8683972478824593,0.7124512001298489,full,1.0,False,1.0,False,0.9659562715264634,False
5,19,30,30.193548387096776,0.9935897435897435,0.6983973972767803,1.0,full,1.0,False,1.0,False,1.0,False
5,20,35,30.193548387096776,1.159188034188034,0.9131648936170212,0.35720678863729965,full,1.0,False,1.0,False,0.9134515360957742,False
5,21,34,30.193548387096776,1.1260683760683758,0.8415242165242165,0.4612160308224047,full,1.0,False,1.0,False,0.9204525937013656,False
5,22,30,30.193548387096776,0.9935897435897435,0.7187268689859363,1.0,full,1.0,False,1.0,False,1.0,False
5,23,31,30.193548387096776,1.0267094017094016,0.7732587826797386,0.853780704510487,full,1.0,False,1.0,False,0.9659562715264634,False
5,24,31,30.193548387096776,1.0267094017094016,0.8265328151986183,0.853780704510487,full,1.0,False,1.0,False,0.9659562715264634,False
5,25,26,30.193548387096776,0.861111111111111,0.6673434856175973,0.5188315085513573,full,1.0,False,1.0,False,0.9243549864995446,False
5,26,20,30.193548387096776,0.6623931623931624,0.537295754932838,0.0649278943462515,full,1.0,False,1.0,False,0.7528447821894237,False
5,27,38,30.193548387096776,1.2585470085470085,0.9895886033817068,0.16615843884076675,full,1.0,False,1.0,False,0.8490513633072146,False
5,28,25,30.193548387096776,0.8279914529914529,0.6268493010917253,0.4066332644555382,full,1.0,False,1.0,False,0.9134515360957742,False
5,29,30,30.193548387096776,0.9935897435897435,0.7859705061777601,1.0,full,1.0,False,1.0,False,1.0,False
5,30,31,30.193548387096776,1.0267094017094016,0.7552834535256411,0.853780704510487,full,1.0,False,1.0,False,0.9659562715264634,False
5,31,26,30.193548387096776,0.861111111111111,0.557701810340955,0.5188315085513573,full,1.0,False,1.0,False,0.9243549864995446,False
6,7,17,30.193548387096776,0.5630341880341879,0.48154178714803064,0.012620823368806058,full,1.0,False,1.0,False,0.7335853583118521,False
6,8,28,30.193548387096776,0.9273504273504273,0.9904214559386973,0.7823030217496556,full,1.0,False,1.0,False,0.9659562715264634,False
6,9,16,30.193548387096776,0.5299145299145299,0.4674726540011514,0.007284653493982984,full,1.0,False,1.0,False,0.6424291676522017,False
6,10,28,30.193548387096776,0.9273504273504273,0.8202614379084967,0.7823030217496556,full,1.0,False,1.0,False,0.9659562715264634,False
6,11,36,30.193548387096776,1.192307692307692,0.9567391304347826,0.26950915959692945,full,1.0,False,1.0,False,0.9134515360957742,False
6,12,29,30.193548387096776,0.9604700854700853,1.018236254763201,0.9266235287233359,full,1.0,False,1.0,False,0.9882567450833742,False
6,13,22,30.193548387096776,0.7286324786324786,0.6568228706159741,0.1409449631431578,full,1.0,False,1.0,False,0.840248818738056,False
6,14,34,30.193548387096776,1.1260683760683758,0.9804092041963717,0.4612160308224047,full,1.0,False,1.0,False,0.9204525937013656,False
6,15,27,30.193548387096776,0.8942307692307692,0.9754959972154542,0.6450481380209045,full,1.0,False,1.0,False,0.961369821088848,False
6,16,25,30.193548387096776,0.8279914529914529,0.7028789923526766,0.4066332644555382,full,1.0,False,1.0,False,0.9134515360957742,False
6,17,31,30.193548387096776,1.0267094017094016,1.0066347687400319,0.853780704510487,full,1.0,False,1.0,False,0.9659562715264634,False
6,18,23,30.193548387096776,0.7617521367521367,0.6700578034682081,0.2302639891439897,full,1.0,False,1.0,False,0.9134515360957742,False
6,19,20,30.193548387096776,0.6623931623931624,0.49646464646464644,0.0649278943462515,full,1.0,False,1.0,False,0.7528447821894237,False
6,20,25,30.193548387096776,0.8279914529914529,0.6947925368978001,0.4066332644555382,full,1.0,False,1.0,False,0.9134515360957742,False
6,21,28,30.193548387096776,0.9273504273504273,0.7741433021806854,0.7823030217496556,full,1.0,False,1.0,False,0.9659562715264634,False
6,22,25,30.193548387096776,0.8279914529914529,0.6752345981232151,0.4066332644555382,full,1.0,False,1.0,False,0.9134515360957742,False
6,23,33,30.193548387096776,1.0929487179487178,1.008260948794266,0.5804212529492752,full,1.0,False,1.0,False,0.9338957876173459,False
6,24,26,30.193548387096776,0.861111111111111,0.780154486036839,0.5188315085513573,full,1.0,False,1.0,False,0.9243549864995446,False
6,25,23,30.193548387096776,0.7617521367521367,0.6781689729666608,0.2302639891439897,full,1.0,False,1.0,False,0.9134515360957742,False
6,26,15,30.193548387096776,0.49679487179487175,0.4496297167038909,0.0031073727670102875,full,1.0,False,1.0,False,0.6424291676522017,False
6,27,26,30.193548387096776,0.861111111111111,0.7063748290013679,0.5188315085513573,full,1.0,False,1.0,False,0.9243549864995446,False
6,28,28,30.193548387096776,0.9273504273504273,0.8658119658119658,0.7823030217496556,full,1.0,False,1.0,False,0.9659562715264634,False
6,29,27,30.193548387096776,0.8942307692307692,0.814954276492738,0.6450481380209045,full,1.0,False,1.0,False,0.961369821088848,False
6,30,28,30.193548387096776,0.9273504273504273,0.7875197472353871,0.7823030217496556,full,1.0,False,1.0,False,0.9659562715264634,False
6,31,33,30.193548387096776,1.0929487179487178,0.9142785107992268,0.5804212529492752,full,1.0,False,1.0,False,0.9338957876173459,False
7,8,25,30.193548387096776,0.8279914529914529,0.7476262312538823,0.4066332644555382,full,1.0,False,1.0,False,0.9134515360957742,False
7,9,29,30.193548387096776,0.9604700854700853,0.8684491978609625,0.9266235287233359,full,1.0,False,1.0,False,0.9882567450833742,False
7,10,26,30.193548387096776,0.861111111111111,0.6523249872253449,0.5188315085513573,full,1.0,False,1.0,False,0.9243549864995446,False
7,11,35,30.193548387096776,1.159188034188034,0.8011049723756906,0.35720678863729965,full,1.0,False,1.0,False,0.9134515360957742,False
7,12,24,30.193548387096776,0.7948717948717949,0.6954419889502762,0.3102501858601514,full,1.0,False,1.0,False,0.9134515360957742,False
7,13,27,30.193548387096776,0.8942307692307692,0.750375939849624,0.6450481380209045,full,1.0,False,1.0,False,0.961369821088848,False
7,14,35,30.193548387096776,1.159188034188034,0.8902324611696029,0.35720678863729965,full,1.0,False,1.0,False,0.9134515360957742,False
7,15,22,30.193548387096776,0.7286324786324786,0.6564359351988218,0.1409449631431578,full,1.0,False,1.0,False,0.840248818738056,False
7,16,29,30.193548387096776,0.9604700854700853,0.7480339729474678,0.9266235287233359,full,1.0,False,1.0,False,0.9882567450833742,False
7,17,40,30.193548387096776,1.3247863247863247,1.2644399799095931,0.07948478690877639,full,1.0,False,1.0,False,0.7528447821894237,False
7,18,34,30.193548387096776,1.1260683760683758,0.9874411302982732,0.4612160308224047,full,1.0,False,1.0,False,0.9204525937013656,False
7,19,30,30.193548387096776,0.9935897435897435,0.7299324831207802,1.0,full,1.0,False,1.0,False,1.0,False
7,20,24,30.193548387096776,0.7948717948717949,0.5787914691943128,0.3102501858601514,full,1.0,False,1.0,False,0.9134515360957742,False
7,21,34,30.193548387096776,1.1260683760683758,0.8801775147928994,0.4612160308224047,full,1.0,False,1.0,False,0.9204525937013656,False
7,22,32,30.193548387096776,1.0598290598290598,0.8193979933110368,0.7124512001298489,full,1.0,False,1.0,False,0.9659562715264634,False
7,23,29,30.193548387096776,0.9604700854700853,0.7392658740459996,0.9266235287233359,full,1.0,False,1.0,False,0.9882567450833742,False
7,24,28,30.193548387096776,0.9273504273504273,0.7537993920972644,0.7823030217496556,full,1.0,False,1.0,False,0.9659562715264634,False
7,25,33,30.193548387096776,1.0929487179487178,0.959190791768399,0.5804212529492752,full,1.0,False,1.0,False,0.9338957876173459,False
7,26,23,30.193548387096776,0.7617521367521367,0.6673575129533679,0.2302639891439897,full,1.0,False,1.0,False,0.9134515360957742,False
